Country,Country_Code,Region,CPI_2016_Rank,Average_CPI_Score,CPI_2016_Score,CPI_2015_Score,CPI_2014_Score,CPI_2013_Score,CPI_2012_Score,Income_Group,Average_Unemployment_Rate,Unemployment_Rate_2016,Unemployment_Rate_2015,Unemployment_Rate_2014,Unemployment_Rate_2013,Unemployment_Rate_2012,Currency_Unit
Trinidad and Tobago,TTO,Latin America & Caribbean,101,37.8,35,39,38,38,39,High income: nonOECD,5.5,5.5,5.5,5.5,5.5,5.5,Trinidad and Tobago dollar
Tunisia,TUN,Middle East & North Africa,75,40.2,41,38,40,41,41,Upper middle income,14.34,12.3,12.9,13.5,16,17,Tunisian dinar
Turkey,TUR,Europe & Central Asia,75,45.4,41,42,45,50,49,Upper middle income,9.9542,10.15,10.15,10.15,9.883,9.438,New Turkish lira
Ukraine,UKR,Europe & Central Asia,131,26.6,29,27,26,25,26,Lower middle income,7.5424,7.268,7.374,7.569,7.703,7.798,Ukrainian hryvnia
United Kingdom,GBR,Europe & Central Asia,10,78,81,81,78,76,74,High income: OECD,7.7908,7.191,7.574,7.947,8.113,8.129,Pound sterling
United States of America,USA,North America,18,74,74,76,74,73,73,High income: OECD,7.5068,6.463,7.053,7.664,8.125,8.229,U.S. dollar
Uruguay,URY,Latin America & Caribbean,21,72.6,71,74,73,73,72,High income: nonOECD,6.94,7,7,7,7,6.7,Uruguayan peso
Uzbekistan,UZB,Europe & Central Asia,156,18.4,21,19,18,17,17,Lower middle income,0.2,0.2,0.2,0.2,0.2,0.2,Uzbek sum
Venezuela,VEN,Latin America & Caribbean,166,18.4,17,17,19,20,19,High income: nonOECD,8.12,8.2,8.1,8.2,8.1,8,Venezuelan bolivar fuerte
Vietnam,VNM,East Asia & Pacific,113,31.4,33,31,31,31,31,Lower middle income,4.468,4.468,4.468,4.468,4.468,4.468,Vietnamese dong
