Region,Country,Average_CPI_Score,CPI_2016_Score,CPI_2015_Score,CPI_2014_Score,CPI_2013_Score,CPI_2012_Score
MA,Malta,55.8,55,56,55,56,57
LC,Colombia,36.6,37,37,37,36,36
MA,Israel,61.2,64,61,60,61,60
EA,Sweden,88.2,88,89,87,89,88
EP,New Zealand,90,90,88,91,91,90
EA,France,70,69,70,69,71,71
EA,Russia,28.2,29,29,27,28,28
EA,Norway,85.8,85,87,86,86,85
EA,Azerbaijan,28.6,30,29,29,28,27
EA,Switzerland,85.8,86,86,86,85,86
LC,Costa Rica,54.8,58,55,54,53,54
EA,United Kingdom,78,81,81,78,76,74
SA,South Africa,43.6,45,44,44,42,43
EA,Poland,60.6,62,62,61,60,58
EP,Vietnam,31.4,33,31,31,31,31
LC,Mexico,33.6,30,35,35,34,34
SA,Sri Lanka,37.6,36,37,38,37,40
LC,Ecuador,32.6,31,32,33,35,32
EA,Slovenia,59.4,61,60,58,57,61
EA,Germany,79.6,81,81,79,78,79
MA,Kuwait,44.2,41,49,44,43,44
EA,Armenia,35,33,35,37,36,34
LC,Jamaica,38.8,39,41,38,38,38
EA,Albania,34.4,39,36,33,31,33
EA,Denmark,90.8,90,91,92,91,90
EA,Estonia,68.2,70,70,69,68,64
EP,Myanmar,21.4,28,22,21,21,15
LC,Dominican Republic,31.4,31,33,32,29,32
SA,Bhutan,64.2,65,65,65,63,63
EP,China,38.4,40,37,36,40,39
EA,Portugal,62.6,62,63,63,62,63
MA,Algeria,35.2,34,36,36,36,34
EA,Ireland,72.6,73,75,74,72,69
EA,Cyprus,61.6,55,61,63,63,66
EA,Czechia,51.8,55,56,51,48,49
EA,Uzbekistan,18.4,21,19,18,17,17
SA,Sao Tome and Principe,42.8,46,42,42,42,42
EP,Hong Kong,75.6,77,75,74,75,77
EA,Bulgaria,41.4,41,41,43,41,41
EA,Moldova,33.8,30,33,35,35,36
LC,Honduras,28.8,30,31,29,26,28
EA,Belgium,76,77,77,76,75,75
LC,Paraguay,26,30,27,24,24,25
EP,Japan,74.2,72,75,76,74,74
LC,Peru,37,35,36,38,38,38
MA,Iran,27.2,29,27,27,25,28
SA,Cape Verde,57.8,59,55,57,58,60
EP,Indonesia,34.2,37,36,34,32,32
EA,Austria,72.2,75,76,72,69,69
MA,Egypt,34.2,34,36,37,32,32
NA,United States of America,74,74,76,74,73,73
EP,Mongolia,38,38,39,39,38,36
LC,Argentina,34.2,36,32,34,34,35
EA,Belarus,32.6,40,32,31,29,31
EA,Kyrgyzstan,26.2,28,28,27,24,24
EA,The FYR of Macedonia,42.2,37,42,45,44,43
EP,Malaysia,50,49,50,52,50,49
EA,Finland,89.4,89,90,89,89,90
EP,Singapore,85.2,84,85,84,86,87
LC,Uruguay,72.6,71,74,73,73,72
LC,Venezuela,18.4,17,17,19,20,19
EA,Iceland,79.2,78,79,79,78,82
MA,Tunisia,40.2,41,38,40,41,41
EP,South Korea,55,53,56,55,55,56
EA,Turkey,45.4,41,42,45,50,49
MA,Morocco,37.2,37,36,39,37,37
EA,Slovakia,49,51,51,50,47,46
EA,Italy,43.8,47,44,43,43,42
EA,Hungary,52.4,48,51,54,54,55
NA,Canada,82.2,82,83,81,81,84
LC,Trinidad and Tobago,37.8,35,39,38,38,39
EP,Australia,80.8,79,79,80,81,85
LC,Chile,70.4,66,70,73,71,72
LC,Nicaragua,27.6,26,27,28,28,29
LC,Panama,37.4,38,39,37,35,38
EA,Croatia,48.4,49,51,48,48,46
EA,Greece,41.8,44,46,43,40,36
LC,Brazil,41.2,40,38,43,42,43
SA,Pakistan,29.2,32,30,29,28,27
EA,Netherlands,84,83,87,83,83,84
EA,Lithuania,57.8,59,61,58,57,54
SA,Sudan,12.2,14,12,11,11,13
EA,Kazakhstan,28,29,28,29,26,28
EA,Georgia,52.4,57,52,52,49,52
EA,Luxembourg,80.8,81,81,82,80,80
EA,Latvia,53.8,57,55,55,53,49
SA,Mauritius,54,54,53,54,52,57
EA,Ukraine,26.6,29,27,26,25,26
